Comment,Designator,Footprint,LCSC
"Arduino_Nano_v3.x","A1","Module:Arduino_Nano_WithMountingHoles",""
"10uF","C1,C8","Capacitor_SMD:C_0805_2012Metric","C17024"
"0.1uF","C2,C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"4.7uF","C4,C5,C6,C7","Capacitor_SMD:C_0805_2012Metric","C1779"
"LED","D3","LED_SMD:LED_0805_2012Metric","C84256"
"Fuse","F1","local:3544-2_FuseHolder",""
"Conn_01x02","FAN0,T0,FAN1,T1,FAN2,T2,T3","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2mm",""
"+5Vin","J1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"Conn_01x03","J2","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"IRLML6344TRPBF","Q1,Q2,Q3","Package_TO_SOT_SMD:SOT-23","C20917"
"1K","R1","Resistor_SMD:R_0805_2012Metric","C17513"
"4.7K","R11,R12,R13,R14","Resistor_SMD:R_0805_2012Metric","C17673"
"100","R3,R6,R9,R15","Resistor_SMD:R_0805_2012Metric","C17408"
"10K","R4,R7,R10","Resistor_SMD:R_0805_2012Metric","C17414"
