Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",-80.960000,-103.378000,0.000000,bottom
"C2","0.1uF","C_0805_2012Metric",-88.900000,-94.234000,0.000000,bottom
"C3","0.1uF","C_0805_2012Metric",-119.634000,-94.488000,180.000000,bottom
"C4","4.7uF","C_0805_2012Metric",-92.964000,-97.790000,0.000000,bottom
"C5","4.7uF","C_0805_2012Metric",-92.964000,-100.838000,180.000000,bottom
"C6","4.7uF","C_0805_2012Metric",-103.124000,-97.790000,0.000000,bottom
"C7","4.7uF","C_0805_2012Metric",-103.124000,-100.838000,180.000000,bottom
"C8","10uF","C_0805_2012Metric",-131.318000,-99.208000,90.000000,bottom
"Q1","IRLML6344TRPBF","SOT-23",-110.998000,-98.552000,0.000000,bottom
"Q2","IRLML6344TRPBF","SOT-23",-115.570000,-100.076000,180.000000,bottom
"Q3","IRLML6344TRPBF","SOT-23",-125.476000,-99.822000,180.000000,bottom
"R1","1K","R_0805_2012Metric",-78.994000,-106.934000,0.000000,bottom
"R3","100","R_0805_2012Metric",-109.982000,-102.108000,90.000000,bottom
"R4","10K","R_0805_2012Metric",-107.950000,-102.108000,90.000000,bottom
"R6","100","R_0805_2012Metric",-118.618000,-99.972500,90.000000,bottom
"R7","10K","R_0805_2012Metric",-118.618000,-103.632000,-90.000000,bottom
"R9","100","R_0805_2012Metric",-125.651500,-96.454000,0.000000,bottom
"R10","10K","R_0805_2012Metric",-123.783622,-94.515721,180.000000,bottom
"R11","4.7K","R_0805_2012Metric",-96.520000,-96.520000,-90.000000,bottom
"R12","4.7K","R_0805_2012Metric",-89.408000,-102.108000,90.000000,bottom
"R13","4.7K","R_0805_2012Metric",-106.680000,-96.369500,-90.000000,bottom
"R14","4.7K","R_0805_2012Metric",-99.822000,-102.108000,90.000000,bottom
"R15","100","R_0805_2012Metric",-126.492000,-103.632000,-90.000000,bottom
